"fid","comm_fkt","new_commun","old_commun","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
1,"MAROHARATRA_AMPASIMPOTSY","MAROHARATRA","MAROHARATRA",20.5828704833984,23.3335971832275,17.2190017700195,2132.55810546875,379.048248291016,56.6485481262207,70.3711013793945,1051.77429199219,192.562698364258,1007.38916015625,251.34814453125,10.0183076858521,61.812385559082,256.025207519531,28.1140537261963,11.906569480896,16.2074813842773,23.2307090759277,18.7374172210693
2,"AMBOHIMANGA DU SUD_AMBODIVOASARY","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.5541095733643,23.2737827301025,17.1453952789307,2097.1728515625,386.650512695312,57.0515937805176,73.078125,1061.95043945312,185.810607910156,1023.74267578125,226.839797973633,10.1631889343262,61.663990020752,255.500915527344,28.0648422241211,11.583251953125,16.4815883636475,23.1580677032471,18.8012771606445
3,"MAROTOKO_AMBOATROTROKA","MAROTOKO","MAROTOKO",22.2424697875977,24.9168567657471,19.0792903900146,2251.4072265625,392.656646728516,66.4048614501953,68.8053817749023,1155.958984375,234.530868530273,1034.04467773438,284.979797363281,9.16917991638184,59.5954551696777,243.398910522461,29.2546997070312,13.8690252304077,15.3856735229492,24.8863830566406,20.4572238922119
4,"MAROTOKO_MANDIAFASINA","MAROTOKO","MAROTOKO",22.13547706604,24.8037071228027,18.9999465942383,2299.34643554688,397.507934570312,67.1598739624023,67.719612121582,1173.94396972656,242.143707275391,1047.24645996094,301.881958007812,9.07891845703125,59.4583473205566,241.983627319336,29.12526512146,13.8557939529419,15.2694730758667,24.7786540985107,20.3317050933838
5,"MAROTOKO_AMBODIARA SUD","MAROTOKO","MAROTOKO",22.5788135528564,25.2424564361572,19.4760284423828,2300.09008789062,396.885070800781,71.0510787963867,67.067138671875,1174.99853515625,253.879272460938,1038.56262207031,308.886749267578,8.99922561645508,59.5703811645508,240.212921142578,29.4741554260254,14.3671998977661,15.1069555282593,25.2214069366455,20.7707843780518
6,"MAROTOKO_MANAMPANDRANA","MAROTOKO","MAROTOKO",22.4434242248535,25.1074886322021,19.3449993133545,2305.27490234375,396.393188476562,71.1034545898438,66.8755569458008,1174.46643066406,251.383850097656,1046.68359375,309.362548828125,8.98441219329834,59.4588470458984,240.160461425781,29.3660488128662,14.2556276321411,15.1104211807251,25.0810413360596,20.63205909729
7,"FASINTSARA_AMBALAPAISO","FASINTSARA","FASINTSARA",19.916296005249,22.7008743286133,16.4883327484131,2006.82116699219,362.638122558594,56.4159278869629,72.592903137207,990.827087402344,177.491943359375,971.720031738281,211.881896972656,10.2131462097168,62.1140632629395,260.010559082031,27.583812713623,11.141209602356,16.4426040649414,22.5873527526855,18.0484237670898
8,"ANALAMPASINA_ANALAVORY","ANALAMPASINA","ANALAMPASINA",20.3392467498779,23.1067943572998,16.8784008026123,1985.7138671875,373.654663085938,55.4761047363281,75.6940994262695,1014.44604492188,170.436889648438,989.408630371094,197.547424316406,10.1934461593628,61.3359603881836,259.245910644531,27.9661712646484,11.3472242355347,16.6189479827881,22.9774303436279,18.5402145385742
9,"ANDRORANGAVOLA_ANDRORANGAVOLA","ANDRORANGAVOLA","ANDRORANGAVOLA",21.788236618042,24.4626560211182,18.6135845184326,2345.48706054688,407.598327636719,65.5704879760742,68.1261749267578,1194.44030761719,238.065719604492,1079.4873046875,303.852691650391,9.13690376281738,59.798957824707,243.535995483398,28.8007431030273,13.5215520858765,15.2791919708252,24.4253616333008,19.9902191162109
10,"AMBOHIMANGA DU SUD_AMBATOFANOKONANA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.5439052581787,23.2568016052246,17.1541309356689,2127.10864257812,389.047698974609,57.8724021911621,72.1832122802734,1073.34875488281,191.367858886719,1029.51745605469,236.252151489258,10.0139751434326,61.6194343566895,254.770706176758,27.9541759490967,11.7028017044067,16.251371383667,23.1510944366455,18.7709255218506
11,"AMBOHIMANGA DU SUD_AMBODIRAFIA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.8757190704346,23.5808296203613,17.5247116088867,2195.87280273438,399.516967773438,58.7485275268555,71.3706359863281,1106.97082519531,200.832321166992,1051.80017089844,252.047439575195,9.85009002685547,61.489387512207,252.821014404297,28.2120342254639,12.1928873062134,16.0191459655762,23.4836730957031,19.0950908660889
12,"AMBOHIMANGA DU SUD_ANTANJONA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.9057598114014,23.6117115020752,17.5740966796875,2242.91918945312,403.401733398438,57.3406219482422,70.0525283813477,1126.62426757812,205.563751220703,1061.74353027344,267.415405273438,9.71741390228271,61.3413734436035,251.802261352539,28.1748123168945,12.3331327438354,15.8416805267334,23.5179767608643,19.115213394165
13,"AMBOHIMANGA DU SUD_FALIARIVO","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.8870792388916,23.5937023162842,17.5549297332764,2227.49365234375,400.693572998047,58.5060501098633,70.2392425537109,1118.40490722656,205.359115600586,1055.53430175781,264.958770751953,9.70175075531006,61.4048919677734,252.168167114258,28.1550827026367,12.3553419113159,15.7997407913208,23.5074234008789,19.0912761688232
14,"MAROHARATRA_MANAKANA","MAROHARATRA","MAROHARATRA",20.4658260345459,23.2370529174805,17.0842018127441,2109.79345703125,375.332672119141,56.5664596557617,70.7929153442383,1040.01806640625,189.776138305664,1000.68994140625,244.742477416992,10.0597820281982,61.8435363769531,257.60546875,28.0592403411865,11.7927951812744,16.2664432525635,23.1320476531982,18.5999336242676
15,"AMBOHIMIERA_ANDEMAKA NORD","AMBOHIMIERA","AMBOHIMIERA",20.5555953979492,23.2552051544189,17.1683082580566,2105.66845703125,394.061065673828,57.6748199462891,74.04541015625,1077.07849121094,188.408401489258,1040.44006347656,226.176239013672,9.99396991729736,61.5043830871582,253.744812011719,27.9432258605957,11.6941013336182,16.2491245269775,23.1508636474609,18.7986183166504
16,"AMBOHIMIERA_MANARINONY","AMBOHIMIERA","AMBOHIMIERA",19.4635601043701,22.1591873168945,16.0934810638428,1984.36755371094,363.575592041016,56.5329627990723,72.1420745849609,998.006408691406,184.222137451172,974.477844238281,216.209381103516,9.55302619934082,60.9941749572754,253.290023803711,26.6005592346191,10.9397687911987,15.660792350769,22.1107006072998,17.6219997406006
17,"AMBOHIMIERA_ANTARAMBAKANA","AMBOHIMIERA","AMBOHIMIERA",20.4291763305664,23.1467895507812,17.0132083892822,2068.501953125,385.191436767578,57.6031341552734,74.1943740844727,1054.00537109375,183.264022827148,1022.87615966797,215.570861816406,10.0505619049072,61.4663734436035,255.825424194336,27.8934268951416,11.5420866012573,16.3513412475586,23.0349063873291,18.6670703887939
18,"AMBOHIMIERA_SAHALALONA","AMBOHIMIERA","AMBOHIMIERA",20.834379196167,23.5162754058838,17.4840126037598,2187.31323242188,405.007568359375,58.4414215087891,72.8057098388672,1116.32348632812,197.863037109375,1064.84802246094,242.789138793945,9.94022846221924,61.7011528015137,251.940551757812,28.1692123413086,12.0588111877441,16.1104011535645,23.4222316741943,19.0741138458252
19,"AMBOHIMIERA_ANDRORANGAVOLA","AMBOHIMIERA","AMBOHIMIERA",20.9480419158936,23.6157054901123,17.6105880737305,2198.77563476562,408.215942382812,58.0722503662109,72.9207763671875,1126.810546875,199.738922119141,1072.73376464844,248.822860717773,9.91250896453857,61.7515602111816,250.696090698242,28.2446727752686,12.1923866271973,16.0522861480713,23.5218620300293,19.1981754302979
20,"AMBOHIMIERA_VOHIMENA","AMBOHIMIERA","AMBOHIMIERA",20.9476375579834,23.6200504302979,17.63205909729,2249.27734375,417.382934570312,58.4910125732422,73.0547027587891,1158.85900878906,204.053009033203,1098.99157714844,257.623748779297,9.70119571685791,61.4714546203613,249.899627685547,28.1183681488037,12.336651802063,15.781717300415,23.5396671295166,19.1813735961914
21,"MAROTOKO_KIANJANOMBY","MAROTOKO","MAROTOKO",21.9376163482666,24.6200847625732,18.793701171875,2291.22314453125,391.952575683594,67.1641616821289,66.8556365966797,1158.32250976562,238.383911132812,1053.9521484375,300.738067626953,8.97648048400879,59.2177352905273,242.976516723633,28.9181613922119,13.7597398757935,15.1584234237671,24.5962581634521,20.116174697876
