fid,new_commun,old_commun,mean_pev,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.35764145664360875,2000-01
4,AMBOHIMIERA,AMBOHIMIERA,-0.3233316100280095,2000-01
9,ANALAMPASINA,ANALAMPASINA,-0.4776967127005947,2000-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.3430368183725516,2000-01
7,AMBIABE,ANDRORANGAVOLA,-0.43317816716261526,2000-01
14,ANTARETRA,ANTARETRA,-0.4626341680863436,2000-01
15,ANTSINDRA,ANTSINDRA,-0.4668508563307898,2000-01
5,AMPASINAMBO,FASINTSARA,-0.5131309614628579,2000-01
11,FASINTSARA,FASINTSARA,-0.4530073161697109,2000-01
8,IFANADIANA,IFANADIANA,-0.4620261242769326,2000-01
3,KELILALINA,KELILALINA,-0.47401797193959877,2000-01
12,MAROHARATRA,MAROHARATRA,-0.4431652230114485,2000-01
13,MAROTOKO,MAROTOKO,-0.3402356556756952,2000-01
1,RANOMAFANA,RANOMAFANA,-0.4613640526517017,2000-01
10,TSARATANANA,TSARATANANA,-0.4553379976792736,2000-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.20471564534944303,2000-02
4,AMBOHIMIERA,AMBOHIMIERA,-0.19193726173564327,2000-02
9,ANALAMPASINA,ANALAMPASINA,-0.2594764890551872,2000-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.21841717033022698,2000-02
7,AMBIABE,ANDRORANGAVOLA,-0.26124075960010834,2000-02
14,ANTARETRA,ANTARETRA,-0.2863373894426401,2000-02
15,ANTSINDRA,ANTSINDRA,-0.2611307131225422,2000-02
5,AMPASINAMBO,FASINTSARA,-0.2855734103215323,2000-02
11,FASINTSARA,FASINTSARA,-0.25294392069017646,2000-02
8,IFANADIANA,IFANADIANA,-0.2841518907987991,2000-02
3,KELILALINA,KELILALINA,-0.2794221724054378,2000-02
12,MAROHARATRA,MAROHARATRA,-0.24924861491620906,2000-02
13,MAROTOKO,MAROTOKO,-0.21784690835284856,2000-02
1,RANOMAFANA,RANOMAFANA,-0.2652919074236412,2000-02
10,TSARATANANA,TSARATANANA,-0.27191193698737837,2000-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.25931984161148236,2000-03
4,AMBOHIMIERA,AMBOHIMIERA,-0.23455893233204106,2000-03
9,ANALAMPASINA,ANALAMPASINA,-0.34084062522656766,2000-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.25940282838866163,2000-03
7,AMBIABE,ANDRORANGAVOLA,-0.32117677740255235,2000-03
14,ANTARETRA,ANTARETRA,-0.3484519513713472,2000-03
15,ANTSINDRA,ANTSINDRA,-0.32910733300455475,2000-03
5,AMPASINAMBO,FASINTSARA,-0.38503595380762123,2000-03
11,FASINTSARA,FASINTSARA,-0.33011498149443597,2000-03
