fid,new_commun,old_commun,mean_precip_mm,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,288.4213468489271,2000-01
4,AMBOHIMIERA,AMBOHIMIERA,292.3793905724212,2000-01
9,ANALAMPASINA,ANALAMPASINA,282.8192529380045,2000-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,332.95385393212024,2000-01
7,AMBIABE,ANDRORANGAVOLA,317.1403682629489,2000-01
14,ANTARETRA,ANTARETRA,319.5420027204357,2000-01
15,ANTSINDRA,ANTSINDRA,289.6936915407114,2000-01
5,AMPASINAMBO,FASINTSARA,270.9819339106864,2000-01
11,FASINTSARA,FASINTSARA,279.33118712260966,2000-01
8,IFANADIANA,IFANADIANA,333.5521114748946,2000-01
3,KELILALINA,KELILALINA,300.31802189121584,2000-01
12,MAROHARATRA,MAROHARATRA,272.8888607970701,2000-01
13,MAROTOKO,MAROTOKO,328.34687039388007,2000-01
1,RANOMAFANA,RANOMAFANA,275.66944526436265,2000-01
10,TSARATANANA,TSARATANANA,321.69075645249933,2000-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,572.493028969215,2000-02
4,AMBOHIMIERA,AMBOHIMIERA,552.7702615784232,2000-02
9,ANALAMPASINA,ANALAMPASINA,551.4105856935446,2000-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,633.7731179609028,2000-02
7,AMBIABE,ANDRORANGAVOLA,602.4958473022126,2000-02
14,ANTARETRA,ANTARETRA,587.2515219414465,2000-02
15,ANTSINDRA,ANTSINDRA,583.2394236398004,2000-02
5,AMPASINAMBO,FASINTSARA,597.272657673603,2000-02
11,FASINTSARA,FASINTSARA,592.766531863175,2000-02
8,IFANADIANA,IFANADIANA,598.4890106678389,2000-02
3,KELILALINA,KELILALINA,572.8675949552282,2000-02
12,MAROHARATRA,MAROHARATRA,608.4403667241364,2000-02
13,MAROTOKO,MAROTOKO,643.6871786412311,2000-02
1,RANOMAFANA,RANOMAFANA,549.0890438914101,2000-02
10,TSARATANANA,TSARATANANA,573.6876971340153,2000-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,360.60489433854036,2000-03
4,AMBOHIMIERA,AMBOHIMIERA,338.1006417531045,2000-03
9,ANALAMPASINA,ANALAMPASINA,323.5651326658083,2000-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,438.1047104143205,2000-03
7,AMBIABE,ANDRORANGAVOLA,425.81030726944374,2000-03
14,ANTARETRA,ANTARETRA,421.8048319593639,2000-03
15,ANTSINDRA,ANTSINDRA,396.6784596175285,2000-03
5,AMPASINAMBO,FASINTSARA,349.32013645079445,2000-03
11,FASINTSARA,FASINTSARA,375.6640464888348,2000-03
8,IFANADIANA,IFANADIANA,437.6364346503666,2000-03
3,KELILALINA,KELILALINA,402.9093623244642,2000-03
12,MAROHARATRA,MAROHARATRA,387.28364030892766,2000-03
13,MAROTOKO,MAROTOKO,421.1348590513929,2000-03
