fid,new_commun,old_commun,mean_rh,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.50233335290989,2000-01
4,AMBOHIMIERA,AMBOHIMIERA,82.28506418409312,2000-01
9,ANALAMPASINA,ANALAMPASINA,81.81656533275775,2000-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,84.46079743933007,2000-01
7,AMBIABE,ANDRORANGAVOLA,84.00585837421141,2000-01
14,ANTARETRA,ANTARETRA,84.45399271345198,2000-01
15,ANTSINDRA,ANTSINDRA,83.3017573099392,2000-01
5,AMPASINAMBO,FASINTSARA,82.29080846323657,2000-01
11,FASINTSARA,FASINTSARA,82.7010798098942,2000-01
8,IFANADIANA,IFANADIANA,84.66094945747957,2000-01
3,KELILALINA,KELILALINA,83.45394746716345,2000-01
12,MAROHARATRA,MAROHARATRA,83.18647212184888,2000-01
13,MAROTOKO,MAROTOKO,84.00485826316549,2000-01
1,RANOMAFANA,RANOMAFANA,82.72709351653756,2000-01
10,TSARATANANA,TSARATANANA,84.11337023211465,2000-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,91.23406462629424,2000-02
4,AMBOHIMIERA,AMBOHIMIERA,91.0898995441318,2000-02
9,ANALAMPASINA,ANALAMPASINA,90.89831159492957,2000-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,90.84451631203206,2000-02
7,AMBIABE,ANDRORANGAVOLA,91.45322267279032,2000-02
14,ANTARETRA,ANTARETRA,90.72933761140895,2000-02
15,ANTSINDRA,ANTSINDRA,91.44357423236617,2000-02
5,AMPASINAMBO,FASINTSARA,90.93058731173049,2000-02
11,FASINTSARA,FASINTSARA,91.18515061836219,2000-02
8,IFANADIANA,IFANADIANA,91.58389655152386,2000-02
3,KELILALINA,KELILALINA,91.55242501883346,2000-02
12,MAROHARATRA,MAROHARATRA,91.09957189904118,2000-02
13,MAROTOKO,MAROTOKO,90.34168483150235,2000-02
1,RANOMAFANA,RANOMAFANA,91.31772013082148,2000-02
10,TSARATANANA,TSARATANANA,91.48948930497484,2000-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,88.58300822653624,2000-03
4,AMBOHIMIERA,AMBOHIMIERA,88.81175795016115,2000-03
9,ANALAMPASINA,ANALAMPASINA,88.01277693519472,2000-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,88.65303081588661,2000-03
7,AMBIABE,ANDRORANGAVOLA,89.21942732107807,2000-03
14,ANTARETRA,ANTARETRA,88.59304191694147,2000-03
15,ANTSINDRA,ANTSINDRA,88.97073330231157,2000-03
5,AMPASINAMBO,FASINTSARA,87.5769189329662,2000-03
11,FASINTSARA,FASINTSARA,88.40763789945753,2000-03
8,IFANADIANA,IFANADIANA,89.22181040467716,2000-03
3,KELILALINA,KELILALINA,89.34754636458548,2000-03
12,MAROHARATRA,MAROHARATRA,88.48819130137235,2000-03
13,MAROTOKO,MAROTOKO,88.279338744666,2000-03
1,RANOMAFANA,RANOMAFANA,89.27657770272474,2000-03
10,TSARATANANA,TSARATANANA,89.1446963326522,2000-03
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,84.81585766171928,2000-04
4,AMBOHIMIERA,AMBOHIMIERA,85.1721104171901,2000-04
9,ANALAMPASINA,ANALAMPASINA,84.3170491027431,2000-04
6,ANDRORANGAVOLA,ANDRORANGAVOLA,84.53968319773456,2000-04
7,AMBIABE,ANDRORANGAVOLA,85.40038043165744,2000-04
14,ANTARETRA,ANTARETRA,84.35886337082381,2000-04
15,ANTSINDRA,ANTSINDRA,85.0217837157433,2000-04
5,AMPASINAMBO,FASINTSARA,83.63572837782684,2000-04
11,FASINTSARA,FASINTSARA,84.62314189270984,2000-04
8,IFANADIANA,IFANADIANA,85.30804073340454,2000-04
3,KELILALINA,KELILALINA,85.59789860512876,2000-04
12,MAROHARATRA,MAROHARATRA,84.61848072973451,2000-04
13,MAROTOKO,MAROTOKO,84.13423069583015,2000-04
1,RANOMAFANA,RANOMAFANA,85.60862686295971,2000-04
10,TSARATANANA,TSARATANANA,85.27169308190291,2000-04
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,86.94927396780406,2000-05
4,AMBOHIMIERA,AMBOHIMIERA,86.45697875779204,2000-05
