fid,new_commun,old_commun,mean_rh,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.45212873501166,2000-01
10,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.72878221276184,2000-01
11,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.82506829597398,2000-01
12,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,83.33645986807649,2000-01
13,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,83.10228714408485,2000-01
95,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.7710534894864,2000-01
96,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.65028328904413,2000-01
98,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.04247324166079,2000-01
107,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
108,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
109,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.2594152801201,2000-01
110,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
111,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
112,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
130,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.7710534894864,2000-01
131,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.16422642651041,2000-01
156,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.53042387016473,2000-01
171,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
172,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
177,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
178,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
179,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.42599577393706,2000-01
193,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,82.1761250332116,2000-01
15,AMBOHIMIERA,AMBOHIMIERA,82.57967516062763,2000-01
16,AMBOHIMIERA,AMBOHIMIERA,82.97978071003753,2000-01
17,AMBOHIMIERA,AMBOHIMIERA,82.47694466662247,2000-01
18,AMBOHIMIERA,AMBOHIMIERA,83.11729503408806,2000-01
19,AMBOHIMIERA,AMBOHIMIERA,82.9864374109291,2000-01
20,AMBOHIMIERA,AMBOHIMIERA,83.68785318049548,2000-01
37,AMBOHIMIERA,AMBOHIMIERA,82.5916598250191,2000-01
38,AMBOHIMIERA,AMBOHIMIERA,82.65735554973968,2000-01
39,AMBOHIMIERA,AMBOHIMIERA,82.3198461112284,2000-01
120,AMBOHIMIERA,AMBOHIMIERA,81.7808993806413,2000-01
121,AMBOHIMIERA,AMBOHIMIERA,82.02799087471736,2000-01
122,AMBOHIMIERA,AMBOHIMIERA,81.755471859274,2000-01
123,AMBOHIMIERA,AMBOHIMIERA,81.90186024915137,2000-01
124,AMBOHIMIERA,AMBOHIMIERA,81.93110225037552,2000-01
125,AMBOHIMIERA,AMBOHIMIERA,82.32015987109108,2000-01
143,AMBOHIMIERA,AMBOHIMIERA,82.33004415797367,2000-01
144,AMBOHIMIERA,AMBOHIMIERA,81.57317314034242,2000-01
173,AMBOHIMIERA,AMBOHIMIERA,81.99870444161378,2000-01
174,AMBOHIMIERA,AMBOHIMIERA,82.41508484338483,2000-01
175,AMBOHIMIERA,AMBOHIMIERA,82.7710534894864,2000-01
176,AMBOHIMIERA,AMBOHIMIERA,83.03244028447507,2000-01
8,ANALAMPASINA,ANALAMPASINA,81.81520062994153,2000-01
113,ANALAMPASINA,ANALAMPASINA,81.81520062994153,2000-01
114,ANALAMPASINA,ANALAMPASINA,81.79016330343129,2000-01
153,ANALAMPASINA,ANALAMPASINA,81.63872225210886,2000-01
154,ANALAMPASINA,ANALAMPASINA,81.81520062994153,2000-01
155,ANALAMPASINA,ANALAMPASINA,81.81520062994153,2000-01
185,ANALAMPASINA,ANALAMPASINA,81.6954607140346,2000-01
186,ANALAMPASINA,ANALAMPASINA,82.1572697933009,2000-01
187,ANALAMPASINA,ANALAMPASINA,81.81520062994153,2000-01
32,AMBIABE,ANDRORANGAVOLA,84.2964690395708,2000-01
33,AMBIABE,ANDRORANGAVOLA,84.25695902804455,2000-01
9,ANDRORANGAVOLA,ANDRORANGAVOLA,84.67576092122066,2000-01
31,ANDRORANGAVOLA,ANDRORANGAVOLA,84.82830289859719,2000-01
34,ANDRORANGAVOLA,ANDRORANGAVOLA,83.92790693859594,2000-01
35,ANDRORANGAVOLA,ANDRORANGAVOLA,84.5206459215713,2000-01
66,ANDRORANGAVOLA,ANDRORANGAVOLA,84.51135732205867,2000-01
67,ANDRORANGAVOLA,ANDRORANGAVOLA,84.14887038952995,2000-01
68,ANDRORANGAVOLA,ANDRORANGAVOLA,84.70838817006025,2000-01
71,ANDRORANGAVOLA,ANDRORANGAVOLA,84.69156915483333,2000-01
72,ANDRORANGAVOLA,ANDRORANGAVOLA,84.51653281161313,2000-01
