fid,new_commun,old_commun,mean_temp,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,22.311079380416114,2000-01
4,AMBOHIMIERA,AMBOHIMIERA,21.057138847959088,2000-01
9,ANALAMPASINA,ANALAMPASINA,21.40688327640561,2000-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,23.580661009550013,2000-01
7,AMBIABE,ANDRORANGAVOLA,22.92916053805679,2000-01
14,ANTARETRA,ANTARETRA,23.678105295131612,2000-01
15,ANTSINDRA,ANTSINDRA,22.986401870818643,2000-01
5,AMPASINAMBO,FASINTSARA,20.743903089148237,2000-01
11,FASINTSARA,FASINTSARA,22.08990275176104,2000-01
8,IFANADIANA,IFANADIANA,22.990610185563604,2000-01
3,KELILALINA,KELILALINA,22.212587768983145,2000-01
12,MAROHARATRA,MAROHARATRA,22.473514352619457,2000-01
13,MAROTOKO,MAROTOKO,24.072664584568116,2000-01
1,RANOMAFANA,RANOMAFANA,21.065047700672146,2000-01
10,TSARATANANA,TSARATANANA,23.07301363793493,2000-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,20.790647386430386,2000-02
4,AMBOHIMIERA,AMBOHIMIERA,19.572703748075636,2000-02
9,ANALAMPASINA,ANALAMPASINA,19.881027918811935,2000-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,22.178402748958387,2000-02
7,AMBIABE,ANDRORANGAVOLA,21.471820082735668,2000-02
14,ANTARETRA,ANTARETRA,22.299832088655464,2000-02
15,ANTSINDRA,ANTSINDRA,21.490962936832776,2000-02
5,AMPASINAMBO,FASINTSARA,19.276212474352526,2000-02
11,FASINTSARA,FASINTSARA,20.574234416550333,2000-02
8,IFANADIANA,IFANADIANA,21.57404938478578,2000-02
3,KELILALINA,KELILALINA,20.744831694161356,2000-02
12,MAROHARATRA,MAROHARATRA,21.003213580096645,2000-02
13,MAROTOKO,MAROTOKO,22.656602296488902,2000-02
1,RANOMAFANA,RANOMAFANA,19.585964375513253,2000-02
10,TSARATANANA,TSARATANANA,21.63058334502803,2000-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,20.865027318727062,2000-03
4,AMBOHIMIERA,AMBOHIMIERA,19.603674095569932,2000-03
9,ANALAMPASINA,ANALAMPASINA,19.961121221415194,2000-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,22.229061502611504,2000-03
7,AMBIABE,ANDRORANGAVOLA,21.51030646159077,2000-03
14,ANTARETRA,ANTARETRA,22.329503985502484,2000-03
15,ANTSINDRA,ANTSINDRA,21.56487058074196,2000-03
5,AMPASINAMBO,FASINTSARA,19.439351130467866,2000-03
11,FASINTSARA,FASINTSARA,20.704640585215007,2000-03
8,IFANADIANA,IFANADIANA,21.6245919140566,2000-03
3,KELILALINA,KELILALINA,20.77994812577874,2000-03
12,MAROHARATRA,MAROHARATRA,21.1195673088885,2000-03
13,MAROTOKO,MAROTOKO,22.693293025176917,2000-03
1,RANOMAFANA,RANOMAFANA,19.599363846283246,2000-03
