fid,new_commun,old_commun,mean_runoff,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.02928711895601591,2000-01
4,AMBOHIMIERA,AMBOHIMIERA,0.028405077229565825,2000-01
9,ANALAMPASINA,ANALAMPASINA,0.034765490374364785,2000-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.018570039140169015,2000-01
7,AMBIABE,ANDRORANGAVOLA,0.024183326223842234,2000-01
14,ANTARETRA,ANTARETRA,0.018037553719221604,2000-01
15,ANTSINDRA,ANTSINDRA,0.031929594195213205,2000-01
5,AMPASINAMBO,FASINTSARA,0.02814377171923534,2000-01
11,FASINTSARA,FASINTSARA,0.03336035697534774,2000-01
8,IFANADIANA,IFANADIANA,0.024944099239219777,2000-01
3,KELILALINA,KELILALINA,0.02550875426185384,2000-01
12,MAROHARATRA,MAROHARATRA,0.02218972453481549,2000-01
13,MAROTOKO,MAROTOKO,0.01851813031321866,2000-01
1,RANOMAFANA,RANOMAFANA,0.02546967161096554,2000-01
10,TSARATANANA,TSARATANANA,0.025208910486023674,2000-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.2534328793547416,2000-02
4,AMBOHIMIERA,AMBOHIMIERA,0.1693159320549554,2000-02
9,ANALAMPASINA,ANALAMPASINA,0.24975112815293354,2000-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.15270424985578804,2000-02
7,AMBIABE,ANDRORANGAVOLA,0.13196165574377589,2000-02
14,ANTARETRA,ANTARETRA,0.23436154977023682,2000-02
15,ANTSINDRA,ANTSINDRA,0.3534904382159284,2000-02
5,AMPASINAMBO,FASINTSARA,0.25826306235688995,2000-02
11,FASINTSARA,FASINTSARA,0.3884815550507678,2000-02
8,IFANADIANA,IFANADIANA,0.15619341838021578,2000-02
3,KELILALINA,KELILALINA,0.1467892613748225,2000-02
12,MAROHARATRA,MAROHARATRA,0.3117359963344028,2000-02
13,MAROTOKO,MAROTOKO,0.1795111393731752,2000-02
1,RANOMAFANA,RANOMAFANA,0.14125994624426516,2000-02
10,TSARATANANA,TSARATANANA,0.2593895551966756,2000-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.2853982424887433,2000-03
4,AMBOHIMIERA,AMBOHIMIERA,0.19829814567131643,2000-03
9,ANALAMPASINA,ANALAMPASINA,0.266913510195836,2000-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.17649152166226517,2000-03
7,AMBIABE,ANDRORANGAVOLA,0.14818971940846468,2000-03
14,ANTARETRA,ANTARETRA,0.2814514040235697,2000-03
15,ANTSINDRA,ANTSINDRA,0.31468104145252784,2000-03
5,AMPASINAMBO,FASINTSARA,0.2386798923604989,2000-03
11,FASINTSARA,FASINTSARA,0.28322482569616386,2000-03
8,IFANADIANA,IFANADIANA,0.19434975813939026,2000-03
3,KELILALINA,KELILALINA,0.17900322900117563,2000-03
12,MAROHARATRA,MAROHARATRA,0.2857562261172911,2000-03
13,MAROTOKO,MAROTOKO,0.19269663762203973,2000-03
1,RANOMAFANA,RANOMAFANA,0.1572697580265324,2000-03
10,TSARATANANA,TSARATANANA,0.2916413245739066,2000-03
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.039747326188690896,2000-04
4,AMBOHIMIERA,AMBOHIMIERA,0.036581092411197946,2000-04
9,ANALAMPASINA,ANALAMPASINA,0.0419274787952407,2000-04
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.035707940081917855,2000-04
7,AMBIABE,ANDRORANGAVOLA,0.033640431603728115,2000-04
14,ANTARETRA,ANTARETRA,0.042251839173225135,2000-04
15,ANTSINDRA,ANTSINDRA,0.03177403340394884,2000-04
5,AMPASINAMBO,FASINTSARA,0.03889153310671859,2000-04
11,FASINTSARA,FASINTSARA,0.030870421971013015,2000-04
8,IFANADIANA,IFANADIANA,0.036038336654784266,2000-04
3,KELILALINA,KELILALINA,0.03549779015792847,2000-04
12,MAROHARATRA,MAROHARATRA,0.0362609449765692,2000-04
13,MAROTOKO,MAROTOKO,0.0366208066924087,2000-04
1,RANOMAFANA,RANOMAFANA,0.03350820747801172,2000-04
10,TSARATANANA,TSARATANANA,0.04142866204448291,2000-04
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.020210115833324827,2000-05
4,AMBOHIMIERA,AMBOHIMIERA,0.019867671859791325,2000-05
9,ANALAMPASINA,ANALAMPASINA,0.021577240099745324,2000-05
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.019307653284819534,2000-05
7,AMBIABE,ANDRORANGAVOLA,0.019181221676384006,2000-05
14,ANTARETRA,ANTARETRA,0.02185941679140704,2000-05
15,ANTSINDRA,ANTSINDRA,0.01474324139461162,2000-05
5,AMPASINAMBO,FASINTSARA,0.01995905084884117,2000-05
11,FASINTSARA,FASINTSARA,0.01531894933901915,2000-05
8,IFANADIANA,IFANADIANA,0.020202452572542554,2000-05
3,KELILALINA,KELILALINA,0.02047794127263863,2000-05
12,MAROHARATRA,MAROHARATRA,0.018191121139763847,2000-05
13,MAROTOKO,MAROTOKO,0.01913835209460496,2000-05
1,RANOMAFANA,RANOMAFANA,0.020634669362582108,2000-05
10,TSARATANANA,TSARATANANA,0.021606379712007316,2000-05
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.014721560338343802,2000-06
4,AMBOHIMIERA,AMBOHIMIERA,0.01533191838957138,2000-06
9,ANALAMPASINA,ANALAMPASINA,0.015494796417387522,2000-06
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.013994264718374045,2000-06
7,AMBIABE,ANDRORANGAVOLA,0.01489508421488815,2000-06
14,ANTARETRA,ANTARETRA,0.0146244225646621,2000-06
15,ANTSINDRA,ANTSINDRA,0.010722086784576621,2000-06
5,AMPASINAMBO,FASINTSARA,0.013536654109152916,2000-06
11,FASINTSARA,FASINTSARA,0.012348670892998626,2000-06
8,IFANADIANA,IFANADIANA,0.015097397331267881,2000-06
3,KELILALINA,KELILALINA,0.015511483380569303,2000-06
12,MAROHARATRA,MAROHARATRA,0.01288290886728386,2000-06
13,MAROTOKO,MAROTOKO,0.01329510910268237,2000-06
1,RANOMAFANA,RANOMAFANA,0.015104755943114449,2000-06
10,TSARATANANA,TSARATANANA,0.015015235448317685,2000-06
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.027810627300906953,2000-07
4,AMBOHIMIERA,AMBOHIMIERA,0.03116934592804455,2000-07
9,ANALAMPASINA,ANALAMPASINA,0.02354231011668076,2000-07
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.03964781065610308,2000-07
7,AMBIABE,ANDRORANGAVOLA,0.04513373699032732,2000-07
14,ANTARETRA,ANTARETRA,0.028921585770500434,2000-07
15,ANTSINDRA,ANTSINDRA,0.03096080827729789,2000-07
5,AMPASINAMBO,FASINTSARA,0.019590416143061996,2000-07
11,FASINTSARA,FASINTSARA,0.0295717811928005,2000-07
8,IFANADIANA,IFANADIANA,0.039329190578812005,2000-07
3,KELILALINA,KELILALINA,0.04097395786887916,2000-07
12,MAROHARATRA,MAROHARATRA,0.02448728470918733,2000-07
13,MAROTOKO,MAROTOKO,0.03754917870946903,2000-07
1,RANOMAFANA,RANOMAFANA,0.040428225888888426,2000-07
10,TSARATANANA,TSARATANANA,0.029803910146819625,2000-07
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.03355378986035571,2000-08
4,AMBOHIMIERA,AMBOHIMIERA,0.036590424144929384,2000-08
9,ANALAMPASINA,ANALAMPASINA,0.031308084329988856,2000-08
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.037389304986633,2000-08
7,AMBIABE,ANDRORANGAVOLA,0.04128873208922649,2000-08
14,ANTARETRA,ANTARETRA,0.03195221770506402,2000-08
15,ANTSINDRA,ANTSINDRA,0.028201429179450167,2000-08
5,AMPASINAMBO,FASINTSARA,0.0265205213588052,2000-08
11,FASINTSARA,FASINTSARA,0.031982097014729156,2000-08
8,IFANADIANA,IFANADIANA,0.039608837784828335,2000-08
3,KELILALINA,KELILALINA,0.04024344761326276,2000-08
12,MAROHARATRA,MAROHARATRA,0.028700317865942696,2000-08
13,MAROTOKO,MAROTOKO,0.03625061738302923,2000-08
1,RANOMAFANA,RANOMAFANA,0.03965330015731939,2000-08
10,TSARATANANA,TSARATANANA,0.03444744757532782,2000-08
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.025140343872500078,2000-09
4,AMBOHIMIERA,AMBOHIMIERA,0.02605076579028938,2000-09
9,ANALAMPASINA,ANALAMPASINA,0.024075662924555447,2000-09
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.026792880562609905,2000-09
7,AMBIABE,ANDRORANGAVOLA,0.02796935109091661,2000-09
14,ANTARETRA,ANTARETRA,0.02409122813129078,2000-09
15,ANTSINDRA,ANTSINDRA,0.019759411767493046,2000-09
5,AMPASINAMBO,FASINTSARA,0.020635418200036934,2000-09
11,FASINTSARA,FASINTSARA,0.02195674155355537,2000-09
8,IFANADIANA,IFANADIANA,0.027310550538511138,2000-09
3,KELILALINA,KELILALINA,0.027583799583530327,2000-09
12,MAROHARATRA,MAROHARATRA,0.02118267269361181,2000-09
13,MAROTOKO,MAROTOKO,0.026341853357274812,2000-09
1,RANOMAFANA,RANOMAFANA,0.02712263435938776,2000-09
10,TSARATANANA,TSARATANANA,0.02542554840299607,2000-09
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.016422266256421895,2000-10
4,AMBOHIMIERA,AMBOHIMIERA,0.016589675546693782,2000-10
9,ANALAMPASINA,ANALAMPASINA,0.016337074931676705,2000-10
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.016464589666808627,2000-10
7,AMBIABE,ANDRORANGAVOLA,0.01688197658984931,2000-10
14,ANTARETRA,ANTARETRA,0.015799022002936706,2000-10
15,ANTSINDRA,ANTSINDRA,0.011867802635777773,2000-10
5,AMPASINAMBO,FASINTSARA,0.0143981677313313,2000-10
11,FASINTSARA,FASINTSARA,0.013341380105367411,2000-10
8,IFANADIANA,IFANADIANA,0.016772568219452624,2000-10
3,KELILALINA,KELILALINA,0.01713193319954123,2000-10
12,MAROHARATRA,MAROHARATRA,0.013676580570484776,2000-10
13,MAROTOKO,MAROTOKO,0.016489087545609814,2000-10
1,RANOMAFANA,RANOMAFANA,0.01699289245572101,2000-10
10,TSARATANANA,TSARATANANA,0.016409554751031327,2000-10
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.011768770292295262,2000-11
4,AMBOHIMIERA,AMBOHIMIERA,0.013147159088648436,2000-11
9,ANALAMPASINA,ANALAMPASINA,0.011805453008251459,2000-11
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.013659924876689218,2000-11
7,AMBIABE,ANDRORANGAVOLA,0.016311119384638275,2000-11
14,ANTARETRA,ANTARETRA,0.016076025729238948,2000-11
15,ANTSINDRA,ANTSINDRA,0.011984018928518348,2000-11
5,AMPASINAMBO,FASINTSARA,0.010434137600690946,2000-11
11,FASINTSARA,FASINTSARA,0.011916317546726105,2000-11
8,IFANADIANA,IFANADIANA,0.01713606529980425,2000-11
3,KELILALINA,KELILALINA,0.017745118194476196,2000-11
12,MAROHARATRA,MAROHARATRA,0.01014622848404825,2000-11
13,MAROTOKO,MAROTOKO,0.012592189846435297,2000-11
1,RANOMAFANA,RANOMAFANA,0.01797619861548702,2000-11
10,TSARATANANA,TSARATANANA,0.015349715653683805,2000-11
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.038726720647725484,2000-12
4,AMBOHIMIERA,AMBOHIMIERA,0.04102092416176403,2000-12
9,ANALAMPASINA,ANALAMPASINA,0.04262567716169769,2000-12
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.03288583758599232,2000-12
7,AMBIABE,ANDRORANGAVOLA,0.04270730200297911,2000-12
14,ANTARETRA,ANTARETRA,0.03404228888628247,2000-12
15,ANTSINDRA,ANTSINDRA,0.043893545126492337,2000-12
5,AMPASINAMBO,FASINTSARA,0.02818673827078805,2000-12
11,FASINTSARA,FASINTSARA,0.0460988310549189,2000-12
8,IFANADIANA,IFANADIANA,0.04633226095054368,2000-12
3,KELILALINA,KELILALINA,0.046523097844121286,2000-12
12,MAROHARATRA,MAROHARATRA,0.027844554597158695,2000-12
13,MAROTOKO,MAROTOKO,0.028712755838542436,2000-12
1,RANOMAFANA,RANOMAFANA,0.04523017114495584,2000-12
10,TSARATANANA,TSARATANANA,0.04518675985646912,2000-12
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.40039362406182133,2001-01
4,AMBOHIMIERA,AMBOHIMIERA,0.26878374282836587,2001-01
9,ANALAMPASINA,ANALAMPASINA,0.3860697384843248,2001-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.1897534178792985,2001-01
7,AMBIABE,ANDRORANGAVOLA,0.19202833186955873,2001-01
14,ANTARETRA,ANTARETRA,0.29305530426816895,2001-01
15,ANTSINDRA,ANTSINDRA,0.4193963373532447,2001-01
5,AMPASINAMBO,FASINTSARA,0.39674418510974574,2001-01
11,FASINTSARA,FASINTSARA,0.5011896272382409,2001-01
8,IFANADIANA,IFANADIANA,0.24275336986649906,2001-01
3,KELILALINA,KELILALINA,0.23934464231144834,2001-01
12,MAROHARATRA,MAROHARATRA,0.42166601983009394,2001-01
13,MAROTOKO,MAROTOKO,0.20050194619400888,2001-01
1,RANOMAFANA,RANOMAFANA,0.2125427353571592,2001-01
10,TSARATANANA,TSARATANANA,0.3485569288462601,2001-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.12708958916791943,2001-02
4,AMBOHIMIERA,AMBOHIMIERA,0.11137918764055701,2001-02
9,ANALAMPASINA,ANALAMPASINA,0.14421850122767865,2001-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.07666339138926205,2001-02
